N,method,price_mean,price_std,bias,rmse,runtime_mean,theoretical_rmse_ratio
1000,Standard MC,5.973580323628831,0.37614483922108505,-0.06650780609539364,0.3801228471738471,4.4374465942382814e-05,0.03162277660168379
1000,Antithetic,5.992455670929806,0.21469378211500098,-0.04763245879441946,0.21886374073577614,5.692243576049805e-05,0.03162277660168379
1000,Control Variate,5.980042190056306,0.19140232888996278,-0.06004593966791916,0.19968479626666552,7.500171661376953e-05,0.03162277660168379
2500,Standard MC,6.010805257593132,0.23510590821963315,-0.02928287213109293,0.23575310559826512,6.511688232421875e-05,0.02
2500,Antithetic,6.022442327209702,0.11368109640725699,-0.01764580251452319,0.11447939600615507,9.884595870971679e-05,0.02
2500,Control Variate,6.013720562657289,0.10749039315828786,-0.026367567066936104,0.11015394395181413,0.00011001825332641601,0.02
5000,Standard MC,6.038801047261265,0.17319439108756896,-0.00128708246295961,0.17233104976880487,0.00010805130004882812,0.01414213562373095
5000,Antithetic,6.0303660050395615,0.08952760738000021,-0.009722124684663491,0.08960781364780486,0.00017209768295288087,0.01414213562373095
5000,Control Variate,6.026817802742723,0.07849302143496478,-0.013270326981501768,0.079218965204337,0.00017096757888793946,0.01414213562373095
10000,Standard MC,6.0368230827277785,0.11955888679601816,-0.0032650469964465856,0.11900438928742527,0.00019195079803466797,0.01
10000,Antithetic,6.033760976655852,0.05773740259328239,-0.006327153068372837,0.057795367007980804,0.0003096771240234375,0.01
10000,Control Variate,6.031061839768039,0.05221924097929715,-0.009026289956185707,0.052735704674750424,0.00029329299926757814,0.01
25000,Standard MC,6.032809366840118,0.07709387589349195,-0.007278762884107337,0.07705200472668688,0.00045303583145141603,0.006324555320336758
25000,Antithetic,6.0352623426886725,0.04387795969376579,-0.004825787035552587,0.04392392074862359,0.0007331752777099609,0.006324555320336758
25000,Control Variate,6.033215913550309,0.03740125430218918,-0.006872216173915646,0.037842999884843645,0.0006462574005126953,0.006324555320336758
50000,Standard MC,6.029553473517192,0.0562152638777014,-0.010534656207033422,0.05691689832827859,0.0009195399284362793,0.00447213595499958
50000,Antithetic,6.034776755599908,0.03366474068295962,-0.0053113741243171475,0.033914485292967,0.0014411592483520507,0.00447213595499958
50000,Control Variate,6.033809485379996,0.028915863369791784,-0.0062786443442286455,0.02944804335906858,0.0012511134147644043,0.00447213595499958
100000,Standard MC,6.039417779527368,0.0381263705209522,-0.0006703501968567949,0.03794118207431535,0.0017169952392578126,0.003162277660168379
100000,Antithetic,6.039944096450143,0.024452484109699794,-0.00014403327408185618,0.02433034083049006,0.0028347039222717287,0.003162277660168379
100000,Control Variate,6.040080036752712,0.021166857903686928,-8.092971513384839e-06,0.021060759252123674,0.0024198508262634278,0.003162277660168379
