n_paths,n_steps,lsm_price,lsm_std,binomial_price,abs_error,error_pct
5000,50,6.054449643151012,0.05707692424332084,6.089989952552339,0.03554030940132691,0.583585682049144
5000,100,6.020493846907913,0.05908024020433476,6.089989952552339,0.06949610564442654,1.1411530427123355
5000,200,6.054305703656917,0.047368646767396494,6.089989952552339,0.03568424889542232,0.585949224439474
10000,50,6.069395892982075,0.0618126172805971,6.089989952552339,0.020594059570264278,0.33816245561510694
10000,100,6.082434325417343,0.07570082950883664,6.089989952552339,0.007555627134996357,0.12406633169944332
10000,200,6.011158212545661,0.02557180268122694,6.089989952552339,0.07883174000667825,1.294447784329095
25000,50,6.032742438734603,0.050978283081706446,6.089989952552339,0.057247513817736184,0.9400264083152308
25000,100,6.047950684508091,0.05606486302014453,6.089989952552339,0.04203926804424807,0.6903011067633903
25000,200,6.041348609332869,0.04904791587517273,6.089989952552339,0.048641343219470556,0.7987097449821698
50000,50,6.0453383677794745,0.03947697387689832,6.089989952552339,0.044651584772864794,0.733196361911092
50000,100,6.041607270082567,0.030010932393041312,6.089989952552339,0.0483826824697724,0.7944624350241337
50000,200,6.044647966647927,0.013430741813684642,6.089989952552339,0.04534198590441196,0.7445330166006096
100000,50,6.039622775776669,0.026735703310658575,6.089989952552339,0.05036717677567015,0.8270486021830146
100000,100,6.043792573244578,0.027623396844223276,6.089989952552339,0.046197379307761466,0.7585789084660141
100000,200,6.0519037067595445,0.018130394229065754,6.089989952552339,0.03808624579279485,0.6253909462828054
